Date;heating
5/20/2021 5:02:14 AM;on
5/20/2021 5:02:25 AM;off
5/20/2021 5:03:20 AM;on
5/20/2021 5:03:30 AM;off
5/20/2021 5:04:14 AM;on
5/20/2021 5:04:24 AM;off
5/20/2021 5:05:20 AM;on
5/20/2021 5:05:30 AM;off
5/20/2021 5:06:26 AM;on
5/20/2021 5:06:37 AM;off
5/20/2021 5:10:26 AM;on
5/20/2021 5:10:36 AM;off
5/20/2021 5:15:44 AM;on
5/20/2021 5:15:55 AM;off
5/20/2021 5:16:38 AM;on
5/20/2021 5:16:49 AM;off
5/20/2021 5:18:14 AM;on
5/20/2021 5:18:24 AM;off
5/20/2021 5:20:26 AM;on
5/20/2021 5:20:36 AM;off
5/20/2021 5:21:20 AM;on
5/20/2021 5:21:30 AM;off
5/20/2021 5:37:03 AM;on
5/20/2021 5:37:13 AM;off
5/20/2021 5:53:09 AM;on
5/20/2021 5:53:19 AM;off
5/20/2021 5:57:21 AM;on
5/20/2021 5:57:31 AM;off
5/20/2021 6:56:57 AM;on
5/20/2021 6:57:07 AM;off
5/20/2021 6:57:51 AM;on
5/20/2021 6:58:01 AM;off
5/20/2021 6:58:45 AM;on
5/20/2021 6:58:55 AM;off
5/20/2021 6:59:39 AM;on
5/20/2021 6:59:49 AM;off
5/20/2021 7:00:33 AM;on
5/20/2021 7:00:43 AM;off
5/20/2021 7:01:27 AM;on
5/20/2021 7:01:37 AM;off
5/20/2021 7:02:21 AM;on
5/20/2021 7:02:31 AM;off
5/20/2021 7:03:16 AM;on
5/20/2021 7:03:25 AM;off
5/20/2021 7:04:10 AM;on
5/20/2021 7:04:19 AM;off
5/20/2021 7:05:10 AM;on
5/20/2021 7:05:20 AM;off
5/20/2021 7:06:04 AM;on
5/20/2021 7:06:14 AM;off
5/20/2021 7:06:58 AM;on
5/20/2021 7:07:08 AM;off
5/20/2021 7:07:52 AM;on
5/20/2021 7:08:02 AM;off
5/20/2021 7:08:53 AM;on
5/20/2021 7:09:03 AM;off
5/20/2021 7:10:29 AM;on
5/20/2021 7:10:40 AM;off
5/20/2021 7:11:23 AM;on
5/20/2021 7:11:34 AM;off
5/20/2021 7:12:17 AM;on
5/20/2021 7:12:28 AM;off
5/20/2021 7:23:14 AM;on
5/20/2021 7:23:24 AM;off
5/20/2021 7:25:20 AM;on
5/20/2021 7:25:30 AM;off
5/20/2021 7:26:14 AM;on
5/20/2021 7:26:24 AM;off
5/20/2021 7:27:08 AM;on
5/20/2021 7:27:18 AM;off
5/20/2021 7:28:31 AM;on
5/20/2021 7:28:41 AM;off
5/20/2021 7:29:25 AM;on
5/20/2021 7:29:35 AM;off
5/20/2021 7:30:20 AM;on
5/20/2021 7:30:29 AM;off
5/20/2021 7:31:14 AM;on
5/20/2021 7:31:23 AM;off
5/20/2021 7:32:08 AM;on
5/20/2021 7:32:18 AM;off
5/20/2021 7:33:02 AM;on
5/20/2021 7:33:11 AM;off
5/20/2021 7:33:56 AM;on
5/20/2021 7:34:05 AM;off
5/20/2021 7:34:50 AM;on
5/20/2021 7:34:59 AM;off
5/20/2021 7:36:14 AM;on
5/20/2021 7:36:25 AM;off
5/20/2021 7:37:08 AM;on
5/20/2021 7:37:19 AM;off
5/20/2021 7:38:20 AM;on
5/20/2021 7:38:31 AM;off
5/20/2021 7:40:26 AM;on
5/20/2021 7:40:37 AM;off
5/20/2021 7:42:38 AM;on
5/20/2021 7:42:48 AM;off
5/20/2021 7:43:32 AM;on
5/20/2021 7:43:42 AM;off
5/20/2021 7:44:26 AM;on
5/20/2021 7:44:36 AM;off
5/20/2021 7:45:20 AM;on
