Date;light target;light real;co2 target;co2 real;temp1;temp2;temp3;temp4;box_humidity;box_temperature;time elapsed
25.05.2021 16:16:41;121;121;5;4,94;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;611
25.05.2021 16:16:44;121;121;5;4,94;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;612
25.05.2021 16:16:48;121;121;5;4,93;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;613
25.05.2021 16:16:51;121;121;5;4,94;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;614
25.05.2021 16:16:55;121;121;5;4,95;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;615
25.05.2021 16:16:59;121;121;5;4,92;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;616
25.05.2021 16:17:02;121;121;5;4,87;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;617
25.05.2021 16:17:06;121;121;5;4,92;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;618
25.05.2021 16:17:09;121;121;5;4,95;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;619
25.05.2021 16:17:13;121;121;5;4,92;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;620
25.05.2021 16:17:17;121;121;5;4,86;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;621
25.05.2021 16:17:20;121;121;5;4,85;38,1;31,1;34,5;34,5;66,8000009953976;40,0000005960464;622
25.05.2021 16:17:24;121;121;5;4,93;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;623
25.05.2021 16:17:27;121;121;5;4,92;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;624
25.05.2021 16:17:31;121;121;5;4,94;38,1;31,1;34,5;35,6;66,8000009953976;40,0000005960464;625
25.05.2021 16:17:35;121;121;5;4,94;38,1;30;34,5;35,6;66,8000009953976;40,1000005975366;626
25.05.2021 16:17:38;121;121;5;4,9;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;627
25.05.2021 16:17:42;121;121;5;4,88;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;628
25.05.2021 16:17:46;121;121;5;4,9;38,1;30;34,5;35,6;66,8000009953976;40,1000005975366;629
25.05.2021 16:17:49;121;121;5;4,96;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;630
25.05.2021 16:17:53;121;121;5;4,97;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;631
25.05.2021 16:17:56;121;121;5;4,98;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;632
25.05.2021 16:18:00;121;121;5;5,01;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;633
25.05.2021 16:18:04;121;121;5;5,03;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;634
25.05.2021 16:18:07;121;121;5;5,01;38,1;31,1;34,5;35,6;66,8000009953976;40,1000005975366;635
25.05.2021 16:18:11;121;121;5;4,99;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;636
25.05.2021 16:18:14;121;121;5;4,98;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;637
25.05.2021 16:18:18;121;121;5;5;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;638
25.05.2021 16:18:22;121;121;5;5;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;639
25.05.2021 16:18:25;121;121;5;4,99;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;640
25.05.2021 16:18:29;121;121;5;4,99;38,1;31,1;34,5;35,6;66,7000009939075;40,1000005975366;641
25.05.2021 16:18:32;121;121;5;4,97;38,1;31,1;34,5;34,5;66,7000009939075;40,1000005975366;642
25.05.2021 16:18:36;121;121;5;4,92;38,1;31,1;34,5;34,5;66,7000009939075;40,1000005975366;643
25.05.2021 16:18:40;121;121;5;4,95;38,1;31,1;34,5;34,5;66,7000009939075;40,1000005975366;644
